trigger_tag,trigger_canonical,related_tag,related_canonical,slot,support,trigger_lines,related_lines,total_lines,confidence,reverse_confidence,lift,pmi,score,safety_bin,safety_class,related_group,related_subgroup,related_source,expected_support,negative_score
large breasts,large_breasts,small breasts,small_breasts,body_detail,140,77274,57593,200039,0.001812,0.002431,0.006293,-7.312097,0.000685,suggestive,suggestive,人物,胸部,weilin_tagcart.csv,22247.869076,21968.750059
small breasts,small_breasts,large breasts,large_breasts,body_detail,140,57593,77274,200039,0.002431,0.001812,0.006293,-7.312097,0.000685,suggestive,suggestive,人物,胸部,danbooru_all.csv,22247.869076,21968.750059
completely nude,completely_nude,bare shoulders,bare_shoulders,body_detail,314,57225,47254,200039,0.005487,0.006645,0.023228,-5.427964,0.002916,nsfw,nudity_nsfw,人物,肩部,weilin_tagcart.csv,13517.914757,12897.208485
large breasts,large_breasts,loli,loli,body_detail,35,77274,31024,200039,0.000453,0.001128,0.00292,-8.419588,0.000241,suggestive,suggestive,人物,年龄,weilin_tagcart.csv,11984.405921,11914.508137
completely nude,completely_nude,long sleeves,long_sleeves,clothing,304,57225,39741,200039,0.005312,0.00765,0.02674,-5.224849,0.003338,nsfw,nudity_nsfw,服饰,手臂,weilin_tagcart.csv,11368.676733,10768.805735
completely nude,completely_nude,shirt,shirt,clothing,690,57225,40873,200039,0.012058,0.016882,0.059012,-4.082844,0.008395,nsfw,nudity_nsfw,服饰,上衣,weilin_tagcart.csv,11692.507086,10353.225471
completely nude,completely_nude,thighhighs,thighhighs,clothing,640,57225,38675,200039,0.011184,0.016548,0.057847,-4.111622,0.008136,nsfw,nudity_nsfw,服饰,袜子,weilin_tagcart.csv,11063.726948,9820.748831
thighhighs,thighhighs,completely nude,completely_nude,other,640,38675,57225,200039,0.016548,0.011184,0.057847,-4.111622,0.008136,suggestive,suggestive,NSFW,R18词,weilin_tagcart.csv,11063.726948,9820.748831
ass,ass,navel,navel,body_detail,8842,49327,97400,200039,0.179253,0.09078,0.368147,-1.441645,0.260471,suggestive,suggestive,人物,腹部,weilin_tagcart.csv,24017.565575,9588.723295
nude,nude,shirt,shirt,clothing,6677,101769,40873,200039,0.065609,0.16336,0.321103,-1.638893,0.080587,nsfw,nudity_nsfw,服饰,上衣,weilin_tagcart.csv,20793.966861,9583.969942
