trigger_tag,trigger_canonical,safety_bin,safety_class,slot,related_tag,related_canonical,support,confidence,lift,pmi,score,related_group,related_subgroup
cat lingerie,cat_lingerie,suggestive,suggestive,scene,on bed,on_bed,91,0.301325,1.612451,0.689256,0.973842,场景,室内
cat lingerie,cat_lingerie,suggestive,suggestive,pose_action,sweat,sweat,230,0.761589,1.339402,0.421589,2.427992,表情动作,其他表情
cat lingerie,cat_lingerie,suggestive,suggestive,pose_action,sex,sex,182,0.602649,1.649133,0.721708,2.269256,NSFW,R18词
cat lingerie,cat_lingerie,suggestive,suggestive,pose_action,vaginal,vaginal,160,0.529801,1.733159,0.793404,2.048065,人物,性器官
cat lingerie,cat_lingerie,suggestive,suggestive,pose_action,spread legs,spread_legs,137,0.453642,1.506586,0.591283,1.481255,表情动作,腿部动作
cat lingerie,cat_lingerie,suggestive,suggestive,pose_action,lying,lying,95,0.31457,1.310225,0.389815,0.833047,表情动作,基础动作
cat lingerie,cat_lingerie,suggestive,suggestive,pose_action,on back,on_back,82,0.271523,1.517185,0.601397,0.808984,表情动作,基础动作
cat lingerie,cat_lingerie,suggestive,suggestive,expression,open mouth,open_mouth,172,0.569536,1.331932,0.413521,1.714454,人物,嘴巴
cat lingerie,cat_lingerie,suggestive,suggestive,clothing,cat cutout,cat_cutout,294,0.97351,644.834284,9.332785,1558.6303,服饰,衣服花纹
cat lingerie,cat_lingerie,suggestive,suggestive,clothing,frilled bra,frilled_bra,167,0.55298,567.269706,9.147891,705.16421,服饰,上半身服装
cat lingerie,cat_lingerie,suggestive,suggestive,clothing,cleavage cutout,cleavage_cutout,268,0.887417,320.429699,8.323864,694.975947,服饰,上衣
cat lingerie,cat_lingerie,suggestive,suggestive,clothing,clothing cutout,clothing_cutout,294,0.97351,145.219951,7.182096,351.011447,服饰,上衣
cat lingerie,cat_lingerie,suggestive,suggestive,clothing,meme attire,meme_attire,252,0.834437,167.590322,7.388795,338.183909,服饰,风格
cat lingerie,cat_lingerie,suggestive,suggestive,clothing,paw gloves,paw_gloves,165,0.546358,81.258611,6.344449,99.582502,服饰,手套
cat lingerie,cat_lingerie,suggestive,suggestive,clothing,neck bell,neck_bell,177,0.586093,46.212614,5.530215,61.532549,服饰,领口
cat lingerie,cat_lingerie,suggestive,suggestive,clothing,jingle bell,jingle_bell,168,0.556291,45.606547,5.511169,57.094346,服饰,其他装饰物
cat lingerie,cat_lingerie,suggestive,suggestive,clothing,bra,bra,297,0.983444,20.283235,4.342216,49.611993,服饰,上半身服装
cat lingerie,cat_lingerie,suggestive,suggestive,clothing,frills,frills,243,0.804636,19.947767,4.318155,38.571735,服饰,衣服装饰
cat lingerie,cat_lingerie,suggestive,suggestive,clothing,bell,bell,180,0.596026,25.536205,4.674472,34.683211,服饰,小装饰
cat lingerie,cat_lingerie,suggestive,suggestive,clothing,black bra,black_bra,143,0.47351,29.471205,4.881234,30.487169,服饰,上半身服装
cat lingerie,cat_lingerie,suggestive,suggestive,body_detail,animal hands,animal_hands,166,0.549669,81.087914,6.341415,100.085874,人物,对象
cat lingerie,cat_lingerie,suggestive,suggestive,body_detail,cat tail,cat_tail,151,0.5,28.528095,4.834311,31.478269,人物,翅膀
cat lingerie,cat_lingerie,suggestive,suggestive,body_detail,tail,tail,169,0.559603,7.965726,2.993806,10.042411,人物,翅膀
cat lingerie,cat_lingerie,suggestive,suggestive,body_detail,cat girl,cat_girl,81,0.268212,19.066398,4.25296,10.018215,人物,二次元角色
cat lingerie,cat_lingerie,suggestive,suggestive,body_detail,penis,penis,222,0.735099,1.744928,0.803167,3.0342,NSFW,R18词
cat lingerie,cat_lingerie,suggestive,suggestive,body_detail,navel,navel,226,0.748344,1.536941,0.620062,2.729231,人物,腹部
cat lingerie,cat_lingerie,suggestive,suggestive,body_detail,bare shoulders,bare_shoulders,153,0.506623,2.144671,1.100756,2.403627,人物,肩部
cat lingerie,cat_lingerie,suggestive,suggestive,body_detail,loli,loli,120,0.397351,2.562071,1.357311,2.152082,人物,年龄
cat lingerie,cat_lingerie,suggestive,suggestive,body_detail,small breasts,small_breasts,159,0.52649,1.828669,0.870794,2.144956,人物,胸部
cat lingerie,cat_lingerie,suggestive,suggestive,body_detail,ahoge,ahoge,89,0.294702,2.262942,1.178199,1.330876,人物,头发
cat lingerie,cat_lingerie,suggestive,suggestive,body_detail,stomach,stomach,106,0.350993,1.819633,0.863648,1.318526,人物,腹部
guided breast grab,guided_breast_grab,suggestive,suggestive,camera,pov hands,pov_hands,132,0.559322,68.098734,6.089556,81.978774,镜头,特写镜头
guided breast grab,guided_breast_grab,suggestive,suggestive,camera,pov,pov,215,0.911017,5.38738,2.429584,11.5445,镜头,镜头角度
guided breast grab,guided_breast_grab,suggestive,suggestive,camera,upper body,upper_body,104,0.440678,5.805636,2.537454,5.262418,镜头,镜头
guided breast grab,guided_breast_grab,suggestive,suggestive,camera,looking at viewer,looking_at_viewer,185,0.783898,1.242278,0.312988,2.23008,镜头,主角动作
guided breast grab,guided_breast_grab,suggestive,suggestive,pose_action,guiding hand,guiding_hand,234,0.991525,723.882315,9.499611,1713.543602,表情动作,手部动作
guided breast grab,guided_breast_grab,suggestive,suggestive,pose_action,grabbing,grabbing,236,1,15.780925,3.98011,37.731167,表情动作,手部动作(抓着某物)
guided breast grab,guided_breast_grab,suggestive,suggestive,expression,smile,smile,115,0.487288,2.081455,1.057593,2.12683,表情动作,笑
guided breast grab,guided_breast_grab,suggestive,suggestive,expression,closed mouth,closed_mouth,89,0.377119,1.43166,0.517688,1.077454,人物,嘴巴
guided breast grab,guided_breast_grab,suggestive,suggestive,body_detail,breast grab,breast_grab,236,1,16.650491,4.057493,39.810244,NSFW,R18词
guided breast grab,guided_breast_grab,suggestive,suggestive,body_detail,collarbone,collarbone,162,0.686441,2.240705,1.163953,3.438492,人物,肩部
guided breast grab,guided_breast_grab,suggestive,suggestive,body_detail,large breasts,large_breasts,154,0.652542,1.689235,0.75637,2.441416,人物,胸部
guided breast grab,guided_breast_grab,suggestive,suggestive,body_detail,medium breasts,medium_breasts,91,0.385593,1.303154,0.382008,1.007146,人物,胸部
highleg swimsuit,highleg_swimsuit,suggestive,suggestive,scene,water,water,149,0.473016,6.452207,2.689793,6.718656,环境,水
highleg swimsuit,highleg_swimsuit,suggestive,suggestive,scene,outdoors,outdoors,121,0.384127,3.569654,1.835784,2.903204,环境,大自然
highleg swimsuit,highleg_swimsuit,suggestive,suggestive,scene,day,day,100,0.31746,3.441789,1.783159,2.23049,环境,天气
highleg swimsuit,highleg_swimsuit,suggestive,suggestive,camera,cowboy shot,cowboy_shot,93,0.295238,4.832594,2.272798,2.871848,镜头,镜头
highleg swimsuit,highleg_swimsuit,suggestive,suggestive,camera,looking at viewer,looking_at_viewer,252,0.8,1.267795,0.342321,2.452728,镜头,主角动作
highleg swimsuit,highleg_swimsuit,suggestive,suggestive,pose_action,clothing aside,clothing_aside,107,0.339683,7.865465,2.975532,5.525699,表情动作,基础动作
highleg swimsuit,highleg_swimsuit,suggestive,suggestive,pose_action,clothed sex,clothed_sex,88,0.279365,3.406725,1.768385,1.895089,NSFW,R18词
highleg swimsuit,highleg_swimsuit,suggestive,suggestive,pose_action,standing,standing,95,0.301587,2.347349,1.231032,1.430862,表情动作,基础动作
highleg swimsuit,highleg_swimsuit,suggestive,suggestive,expression,closed mouth,closed_mouth,106,0.336508,1.277489,0.353311,0.88748,人物,嘴巴
highleg swimsuit,highleg_swimsuit,suggestive,suggestive,clothing,competition swimsuit,competition_swimsuit,227,0.720635,360.387722,8.493406,616.74109,服饰,泳装
highleg swimsuit,highleg_swimsuit,suggestive,suggestive,clothing,highleg,highleg,279,0.885714,100.383796,6.649383,218.801779,服饰,上衣
highleg swimsuit,highleg_swimsuit,suggestive,suggestive,clothing,wet swimsuit,wet_swimsuit,102,0.32381,305.540252,8.255219,202.743163,服饰,泳装
highleg swimsuit,highleg_swimsuit,suggestive,suggestive,clothing,one-piece swimsuit,one-piece_swimsuit,314,0.996825,59.047662,5.883808,147.771205,服饰,泳装
highleg swimsuit,highleg_swimsuit,suggestive,suggestive,clothing,black one-piece swimsuit,black_one-piece_swimsuit,107,0.339683,133.759361,7.063496,93.969513,服饰,上半身服装
highleg swimsuit,highleg_swimsuit,suggestive,suggestive,clothing,white one-piece swimsuit,white_one-piece_swimsuit,89,0.28254,89.006229,6.475834,50.185818,服饰,上半身服装
highleg swimsuit,highleg_swimsuit,suggestive,suggestive,clothing,swimsuit,swimsuit,314,0.996825,17.990252,4.169144,45.021956,服饰,泳装
highleg swimsuit,highleg_swimsuit,suggestive,suggestive,clothing,swimsuit aside,swimsuit_aside,98,0.311111,68.843314,6.105245,43.551707,服饰,泳装
highleg swimsuit,highleg_swimsuit,suggestive,suggestive,clothing,one-piece swimsuit pull,one-piece_swimsuit_pull,93,0.295238,71.760794,6.165124,42.645016,表情动作,手部拿着某物
highleg swimsuit,highleg_swimsuit,suggestive,suggestive,clothing,blue one-piece swimsuit,blue_one-piece_swimsuit,113,0.35873,50.252116,5.651112,37.674614,服饰,上半身服装
