trigger,related,slot,support,trigger_lines,related_lines,total_lines,confidence,lift,score
1boy,male_focus,camera,3896,7506,4778,572859,0.519051,62.231746,116.018254
1boy,looking_at_another,camera,508,7506,1862,572859,0.067679,20.822037,3.825084
1boy,pov,camera,378,7506,2781,572859,0.05036,10.373612,1.352437
1boy,gradient,camera,109,7506,820,572859,0.014522,10.144995,1.052821
1boy,upper_body,camera,1813,7506,112180,572859,0.24154,1.23345,0.971478
1boy,from_side,camera,493,7506,21007,572859,0.065681,1.791109,0.317816
1boy,eye_focus,camera,36,7506,849,572859,0.004796,3.23619,0.26905
1boy,profile,camera,260,7506,9573,572859,0.034639,2.072834,0.251991
1boy,demon_slayer_uniform,clothing,441,7506,1003,572859,0.058753,33.556514,5.232831
1boy,pants,clothing,1221,7506,16758,572859,0.16267,5.560741,2.795339
1boy,black_pants,clothing,554,7506,5731,572859,0.073808,7.377658,1.498147
1boy,haori,clothing,200,7506,1488,572859,0.026645,10.258084,1.191076
1boy,jewelry,clothing,1396,7506,60527,572859,0.185985,1.760254,1.030588
1boy,clothes_lift,clothing,88,7506,990,572859,0.011724,6.784013,0.675425
1boy,green_shorts,clothing,66,7506,709,572859,0.008793,7.104555,0.668117
1boy,jacket,clothing,1237,7506,74842,572859,0.164801,1.261431,0.643586
1boy,blush,expression,2466,7506,173813,572859,0.328537,1.082804,1.207298
1boy,closed_mouth,expression,1909,7506,114033,572859,0.25433,1.277658,1.066824
1boy,closed_eyes,expression,1000,7506,34659,572859,0.133227,2.20203,0.881376
1boy,blank_eyes,expression,32,7506,326,572859,0.004263,7.491548,0.608032
1boy,glowing_eyes,expression,120,7506,2132,572859,0.015987,4.295693,0.454043
1boy,half-closed_eyes,expression,126,7506,5205,572859,0.016787,1.847519,0.197088
1boy,crying_with_eyes_open,expression,73,7506,3240,572859,0.009726,1.719559,0.164998
1boy,black_eyes,expression,251,7506,14394,572859,0.03344,1.330857,0.16081
1boy,kiss,pose_action,581,7506,1074,572859,0.077405,41.286782,8.857419
1boy,hug,pose_action,539,7506,1531,572859,0.071809,26.869077,5.285861
1boy,french_kiss,pose_action,317,7506,634,572859,0.042233,38.160072,4.797766
1boy,eye_contact,pose_action,150,7506,349,572859,0.019984,32.802354,3.615016
1boy,hand_on_another's_head,pose_action,107,7506,342,572859,0.014255,23.87794,2.469201
1boy,holding_hands,pose_action,119,7506,708,572859,0.015854,12.827821,1.353713
1boy,hand_on_another's_face,pose_action,58,7506,339,572859,0.007727,13.057724,1.19642
1boy,heavy_breathing,pose_action,47,7506,304,572859,0.006262,11.799496,1.035922
1boy,tree,prop,642,7506,16556,572859,0.085532,2.959503,0.712373
1boy,forest,prop,195,7506,3653,572859,0.025979,4.074029,0.470908
1boy,snake,prop,53,7506,996,572859,0.007061,4.061212,0.365375
1boy,spikes,prop,48,7506,907,572859,0.006395,4.038993,0.356124
1boy,cherry_blossoms,prop,257,7506,6702,572859,0.034239,2.92663,0.355075
1boy,bandages,prop,158,7506,3780,572859,0.02105,3.190101,0.354948
1boy,ground_vehicle,prop,23,7506,382,572859,0.003064,4.595192,0.348893
1boy,sword,prop,408,7506,13518,572859,0.054357,2.303493,0.328197
1boy,outdoors,scene,1459,7506,48866,572859,0.194378,2.278703,1.402767
1boy,indoors,scene,870,7506,22038,572859,0.115907,3.012911,1.028267
1boy,day,scene,796,7506,24340,572859,0.106048,2.495926,0.769275
1boy,sliding_doors,scene,63,7506,674,572859,0.008393,7.133782,0.664627
1boy,sky,scene,894,7506,36349,572859,0.119105,1.877086,0.66091
1boy,bedroom,scene,44,7506,528,572859,0.005862,6.360012,0.550902
1boy,pool,scene,26,7506,319,572859,0.003464,6.220451,0.484045
1boy,tatami,scene,46,7506,674,572859,0.006128,5.208793,0.455297
1boy,sweat,style_light,776,7506,9555,572859,0.103384,6.198266,1.85539
1boy,blurry,style_light,592,7506,24859,572859,0.07887,1.817512,0.398448
1boy,wet_shirt,style_light,23,7506,351,572859,0.003064,5.001035,0.379707
1boy,wet,style_light,104,7506,2590,572859,0.013856,3.064593,0.315179
1boy,wet_clothes,style_light,46,7506,1021,572859,0.006128,3.438518,0.300559
1boy,blurry_background,style_light,357,7506,13705,572859,0.047562,1.988055,0.254935
1boy,snow,style_light,101,7506,5339,572859,0.013456,1.443779,0.14765
1boy,eyeshadow,style_light,37,7506,2507,572859,0.004929,1.126384,0.094171
2girls,looking_at_another,camera,442,2241,1862,572859,0.197233,60.680406,31.777232
2girls,close-up,camera,177,2241,8256,572859,0.078983,5.480365,0.983374
2girls,foot_focus,camera,55,2241,1469,572859,0.024543,9.570768,0.867549
2girls,pov,camera,85,2241,2781,572859,0.037929,7.813108,0.772608
2girls,from_side,camera,240,2241,21007,572859,0.107095,2.920472,0.749999
2girls,gradient,camera,21,2241,820,572859,0.009371,6.546532,0.488162
2girls,profile,camera,132,2241,9573,572859,0.058902,3.524778,0.446853
2girls,facing_away,camera,20,2241,1951,572859,0.008925,2.620466,0.193537
2girls,lycoris_uniform,clothing,85,2241,449,572859,0.037929,48.392546,4.785354
2girls,red_belt,clothing,63,2241,444,572859,0.028112,36.271329,3.37926
2girls,blue_belt,clothing,52,2241,578,572859,0.023204,22.99754,2.06103
2girls,long_sleeves,clothing,828,2241,174964,572859,0.369478,1.209727,1.306595
2girls,red_sweater,clothing,45,2241,793,572859,0.02008,14.505918,1.262278
2girls,sunglasses,clothing,127,2241,3250,572859,0.056671,9.989097,1.209583
2girls,sweater_dress,clothing,20,2241,317,572859,0.008925,16.127855,1.19114
2girls,two-tone_dress,clothing,78,2241,1700,572859,0.034806,11.728746,1.140317
2girls,closed_eyes,expression,568,2241,34659,572859,0.253458,4.189268,2.932628
2girls,blush,expression,1125,2241,173813,572859,0.502008,1.654536,2.53745
2girls,open_mouth,expression,1001,2241,143257,572859,0.446676,1.786175,2.397314
2girls,smile,expression,1008,2241,214402,572859,0.449799,1.201815,1.625914
2girls,closed_mouth,expression,604,2241,114033,572859,0.269523,1.35398,1.017481
2girls,glowing_eyes,expression,50,2241,2132,572859,0.022311,5.994993,0.533
2girls,half-closed_eyes,expression,105,2241,5205,572859,0.046854,5.156731,0.531323
2girls,purple_eyes,expression,286,2241,47180,572859,0.127622,1.54958,0.488722
2girls,kiss,pose_action,381,2241,1074,572859,0.170013,90.683146,39.964493
2girls,french_kiss,pose_action,280,2241,634,572859,0.124944,112.894987,34.733543
2girls,eye_contact,pose_action,155,2241,349,572859,0.069166,113.530397,17.412554
2girls,hug,pose_action,266,2241,1531,572859,0.118697,44.413227,12.867783
2girls,:d,pose_action,318,2241,4012,572859,0.141901,20.261523,7.233462
2girls,tongue_out,pose_action,376,2241,9636,572859,0.167782,9.974633,4.328825
2girls,hand_on_another's_face,pose_action,53,2241,339,572859,0.02365,39.965206,3.595551
2girls,tongue,pose_action,406,2241,14234,572859,0.181169,7.2913,3.459713
2girls,flower,prop,405,2241,61603,572859,0.180723,1.680579,0.795151
2girls,chalkboard,prop,25,2241,761,572859,0.011156,8.397717,0.648332
2girls,sand,prop,27,2241,1030,572859,0.012048,6.700889,0.525417
2girls,tree,prop,182,2241,16556,572859,0.081214,2.810101,0.521092
2girls,red_rose,prop,55,2241,2959,572859,0.024543,4.751422,0.430696
2girls,cherry_blossoms,prop,106,2241,6702,572859,0.0473,4.043033,0.417334
2girls,desk,prop,45,2241,3012,572859,0.02008,3.819121,0.332333
2girls,feathers,prop,61,2241,4443,572859,0.02722,3.509614,0.32486
2girls,outdoors,scene,510,2241,48866,572859,0.227577,2.667898,1.649027
2girls,indoors,scene,267,2241,22038,572859,0.119143,3.097027,0.90125
2girls,day,scene,269,2241,24340,572859,0.120036,2.825124,0.829343
2girls,sky,scene,315,2241,36349,572859,0.140562,2.215256,0.782154
2girls,petals,scene,174,2241,13565,572859,0.077644,3.278954,0.576602
2girls,street,scene,31,2241,1184,572859,0.013833,6.692924,0.539712
2girls,tatami,scene,19,2241,674,572859,0.008478,7.206088,0.526908
2girls,classroom,scene,33,2241,1390,572859,0.014726,6.068831,0.495662
2girls,sweat,style_light,291,2241,9555,572859,0.129853,7.785171,2.505647
2girls,eyeshadow,style_light,56,2241,2507,572859,0.024989,5.710046,0.519484
2girls,blurry,style_light,192,2241,24859,572859,0.085676,1.974347,0.38996
2girls,wet,style_light,33,2241,2590,572859,0.014726,3.257017,0.266012
2girls,blurry_background,style_light,121,2241,13705,572859,0.053994,2.256899,0.258007
2girls,snow,style_light,58,2241,5339,572859,0.025881,2.776988,0.254443
2girls,snowing,style_light,38,2241,3920,572859,0.016957,2.478012,0.208307
2girls,depth_of_field,style_light,54,2241,11727,572859,0.024096,1.177098,0.106303
animal_focus,full_body,camera,92,330,78638,572859,0.278788,2.030903,1.137252
animal_focus,from_side,camera,30,330,21007,572859,0.090909,2.479083,0.361058
animal_focus,closed_eyes,expression,43,330,34659,572859,0.130303,2.153705,0.483891
animal_focus,black_eyes,expression,20,330,14394,572859,0.060606,2.412028,0.215931
animal_focus,sleeping,pose_action,18,330,2727,572859,0.054545,11.458326,0.904473
animal_focus,lying,pose_action,27,330,10052,572859,0.081818,4.662782,0.598269
animal_focus,sitting,pose_action,43,330,51872,572859,0.130303,1.439028,0.323318
animal_focus,animal,prop,182,330,9417,572859,0.551515,33.550007,42.248693
