character_tag,copyright_tag,subject_hint,support,character_lines,copyright_lines,score
hatsune_miku,vocaloid,1girl,18236,18651,24189,96116.523898
komeiji_koishi,touhou,1girl,5434,5437,92535,25731.942616
hakurei_reimu,touhou,1girl,4873,4908,92535,22858.777892
kirisame_marisa,touhou,1girl,4687,4702,92535,21898.988662
flandre_scarlet,touhou,1girl,4592,4604,92535,21413.117366
remilia_scarlet,touhou,1girl,3487,3499,92535,15844.732527
cirno,touhou,1girl,3470,3477,92535,15757.980277
konpaku_youmu,touhou,1girl,3275,3284,92535,14791.220311
shigure_(kancolle),kantai_collection,1girl,2342,2348,54576,10236.174933
patchouli_knowledge,touhou,1girl,2218,2222,92535,9641.078313
konpaku_youmu_(ghost),touhou,1girl,2215,2223,92535,9628.47091
fujiwara_no_mokou,touhou,1girl,2207,2213,92535,9589.373981
pokemon_(creature),pokemon,1girl,2115,2839,8618,9418.444805
mystia_lorelei,touhou,1girl,2170,2172,92535,9410.985811
rumia,touhou,1girl,2126,2127,92535,9200.833684
artoria_pendragon_(fate),fate_(series),1girl,2014,2035,8588,8677.448729
komeiji_satori,touhou,1girl,2007,2009,92535,8636.080733
kagamine_rin,vocaloid,1girl,1920,1973,24189,8246.644004
hibiki_(kancolle),kantai_collection,1girl,1868,1905,54576,7994.843823
gawr_gura,hololive,1girl,1851,1907,17510,7922.929133
gawr_gura,hololive_english,1girl,1851,1907,5092,7922.929133
izayoi_sakuya,touhou,1girl,1806,1809,92535,7688.934052
hu_tao_(genshin_impact),genshin_impact,1girl,1753,1882,10725,7493.408192
alice_margatroid,touhou,1girl,1754,1761,92535,7447.06191
shigure_kai_ni_(kancolle),kantai_collection,1girl,1679,1680,54576,7094.294284
shameimaru_aya,touhou,1girl,1675,1678,92535,7076.526527
fubuki_(kancolle),kantai_collection,1girl,1611,1614,54576,6778.932587
kaenbyou_rin,touhou,1girl,1548,1550,92535,6486.633469
artoria_pendragon_(fate),fate/stay_night,1girl,1494,2035,2804,6436.995234
hinanawi_tenshi,touhou,1girl,1510,1514,92535,6311.990071
moriya_suwako,touhou,1girl,1446,1448,92535,6016.47134
yuki_miku,vocaloid,1girl,1442,1449,24189,6000.260612
gotoh_hitori,bocchi_the_rock!,1girl,1412,1412,3131,5859.566592
saber,fate_(series),1girl,1403,1421,8588,5826.089491
yuudachi_(kancolle),kantai_collection,1girl,1404,1409,54576,5825.071034
saigyouji_yuyuko,touhou,1girl,1373,1383,92535,5685.348853
amiya_(arknights),arknights,1girl,1355,1420,14928,5626.350707
chen,touhou,1girl,1345,1347,92535,5553.999416
inubashiri_momiji,touhou,1girl,1310,1311,92535,5394.059526
saber,fate/stay_night,1girl,1259,1421,2804,5228.115944
hoshimachi_suisei,hololive,1girl,1269,1306,17510,5223.131892
makima_(chainsaw_man),chainsaw_man,1girl,1237,1272,3681,5077.250557
yuudachi_kai_ni_(kancolle),kantai_collection,1girl,1221,1222,54576,4990.313942
reisen_udongein_inaba,touhou,1girl,1193,1195,92535,4864.299911
kagiyama_hina,touhou,1girl,1190,1192,92535,4850.768744
kaga_(kancolle),kantai_collection,1girl,1176,1177,54576,4787.23312
kazami_yuuka,touhou,1girl,1143,1147,92535,4640.080987
nazrin,touhou,1girl,1138,1139,92535,4616.323998
nekomata,touhou,1girl,1126,1202,92535,4593.972431
kochiya_sanae,touhou,1girl,1114,1116,92535,4509.097913
yakumo_yukari,touhou,1girl,1110,1120,92535,4494.632005
klee_(genshin_impact),genshin_impact,1girl,1046,1173,10725,4256.485721
suzuran_(arknights),arknights,1girl,1042,1205,14928,4252.388503
kemomimi-chan_(naga_u),original,1girl,1053,1066,73512,4241.228337
akemi_homura,mahou_shoujo_madoka_magica,1girl,1039,1053,4167,4179.303078
gardevoir,pokemon,1girl,1031,1034,8618,4138.970675
tatara_kogasa,touhou,1girl,1006,1008,92535,4027.481295
aris_(blue_archive),blue_archive,1girl,984,1069,14955,3964.514062
rice_shower_(umamusume),umamusume,1girl,987,1007,13094,3950.990087
nahida_(genshin_impact),genshin_impact,1girl,934,1274,10725,3834.228246
inazuma_(kancolle),kantai_collection,1girl,958,963,54576,3816.313983
arima_kana,oshi_no_ko,1girl,951,951,2427,3783.249672
kaname_madoka,mahou_shoujo_madoka_magica,1girl,944,974,4167,3765.199655
kawashiro_nitori,touhou,1girl,942,943,92535,3743.990015
warrior_of_light_(ff14),final_fantasy,1girl,941,941,3040,3739.147836
warrior_of_light_(ff14),final_fantasy_xiv,1girl,941,941,2075,3739.147836
mononobe_no_futo,touhou,1girl,936,936,92535,3717.114194
megurine_luka,vocaloid,1girl,931,960,24189,3707.494518
ninomae_ina'nis,hololive,1girl,928,961,17510,3695.967304
ninomae_ina'nis,hololive_english,1girl,927,961,5092,3691.98458
ibuki_suika,touhou,1girl,925,926,92535,3669.115163
hoshino_ai_(oshi_no_ko),oshi_no_ko,1girl,908,908,2427,3593.94195
hatsune_miku,magical_mirai_(vocaloid),1girl,670,18651,694,3531.370422
manhattan_cafe_(umamusume),umamusume,1girl,876,882,13094,3456.230481
furina_(genshin_impact),genshin_impact,1girl,876,876,10725,3453.633597
vision_(genshin_impact),genshin_impact,1girl,857,1000,10725,3428
yuzuki_yukari,voiceroid,1girl,864,899,2056,3416.048374
shirakami_fubuki,hololive,1girl,863,870,17510,3399.805115
reiuji_utsuho,touhou,1girl,859,861,92535,3380.167707
houshou_(kancolle),kantai_collection,1girl,858,858,54576,3374.932093
gawr_gura_(1st_costume),hololive,1girl,856,856,17510,3366.197543
gawr_gura_(1st_costume),hololive_english,1girl,856,856,5092,3366.197543
nanami_chiaki,danganronpa_(series),1girl,851,854,3266,3345.670648
ryuujou_(kancolle),kantai_collection,1girl,842,847,54576,3307.277831
akemi_homura,mahou_shoujo_madoka_magica_(anime),1girl,813,1053,2381,3270.234266
kaname_madoka,mahou_shoujo_madoka_magica_(anime),1girl,815,974,2381,3250.67555
pokemon_(creature),,1girl,723,2839,723,3219.638579
nanami_chiaki,danganronpa_2:_goodbye_despair,1girl,818,854,1397,3215.932538
houraisan_kaguya,touhou,1girl,786,793,92535,3064.828725
boo_tao_(genshin_impact),genshin_impact,1girl,785,799,10725,3063.499222
samidare_(kancolle),kantai_collection,1girl,785,786,54576,3057.906699
asashio_(kancolle),kantai_collection,1girl,780,784,54576,3037.566529
adachi_rei,utau,1girl,759,761,1548,2945.970954
adachi_rei,a.i._voice,1girl,758,761,982,2942.08957
mizuhashi_parsee,touhou,1girl,755,756,92535,2928.283956
yakumo_ran,touhou,1girl,746,747,92535,2889.497169
la+_darknesss,hololive,1girl,734,764,17510,2850.190525
nagato_yuki,suzumiya_haruhi_no_yuuutsu,1girl,734,736,1840,2838.288316
mostima_(arknights),arknights,1girl,720,726,14928,2779.874367
yuzuki_yukari,vocaloid,1girl,702,899,24189,2775.539304
amane_kanata,hololive,1girl,717,733,17510,2771.27955
kafuu_chino,gochuumon_wa_usagi_desu_ka?,1girl,707,758,1430,2742.926128
borrowed_character,original,1girl,703,762,73512,2729.014345
texas_(arknights),arknights,1girl,702,740,14928,2716.200667
mejiro_mcqueen_(umamusume),umamusume,1girl,695,733,13094,2686.247262
kamisato_ayaka,genshin_impact,1girl,681,858,10725,2678.704843
inkling,splatoon_(series),1girl,694,702,1256,2669.357956
iono_(pokemon),pokemon,1girl,690,726,8618,2664.046268
iono_(pokemon),pokemon_sv,1girl,690,726,1790,2664.046268
ikazuchi_(kancolle),kantai_collection,1girl,692,695,54576,2658.653485
kongou_(kancolle),kantai_collection,1girl,688,690,54576,2641.128174
shiki_eiki,touhou,1girl,688,690,92535,2641.128174
hatsune_miku,pokemon,1girl,493,18651,8618,2598.456146
suigintou,rozen_maiden,1girl,668,669,1745,2555.384647
akatsuki_(kancolle),kantai_collection,1girl,666,673,54576,2549.458033
hatsune_miku,project_voltage,1girl,480,18651,503,2529.937019
chouzetsusaikawa_tenshi-chan,needy_girl_overdose,1girl,660,660,928,2520.898997
mika_(blue_archive),blue_archive,1girl,656,694,14955,2519.931813
magical_mirai_miku,vocaloid,1girl,657,668,24189,2512.878136
nanashi_mumei,hololive,1girl,657,658,17510,2508.574412
magical_mirai_miku,magical_mirai_(vocaloid),1girl,655,668,694,2505.228583
nanashi_mumei,hololive_english,1girl,656,658,5092,2504.756186
shima_rin,yurucamp,1girl,655,657,1211,2500.505317
hina_(blue_archive),blue_archive,1girl,646,726,14955,2494.165057
kinomoto_sakura,cardcaptor_sakura,1girl,648,677,857,2482.221457
inaba_tewi,touhou,1girl,647,651,92535,2467.3869
imaizumi_kagerou,touhou,1girl,643,643,92535,2448.679656
murakumo_(kancolle),kantai_collection,1girl,641,646,54576,2442.359044
zuihou_(kancolle),kantai_collection,1girl,641,645,54576,2441.927777
yukikaze_(kancolle),kantai_collection,1girl,639,644,54576,2433.878069
irene_(arknights),arknights,1girl,639,642,14928,2433.014883
twin_turbo_(umamusume),umamusume,1girl,637,652,13094,2429.675718
suzumiya_haruhi,suzumiya_haruhi_no_yuuutsu,1girl,636,639,1840,2420.298546
haruna_(kancolle),kantai_collection,1girl,635,642,54576,2417.784743
karakasa_obake,touhou,1girl,632,632,92535,2402.053193
inkling_girl,splatoon_(series),1girl,625,629,1256,2374.156653
tokoyami_towa,hololive,1girl,624,628,17510,2369.926818
mari_(blue_archive),blue_archive,1girl,613,696,14955,2355.519464
anya_(spy_x_family),spy_x_family,1girl,615,670,816,2353.036004
wriggle_nightbug,touhou,1girl,616,618,92535,2335.248901
kamishirasawa_keine,touhou,1girl,613,614,92535,2322.147212
isekai_joucho,kamitsubaki_studio,1girl,611,611,1565,2313.271179
amatsukaze_(kancolle),kantai_collection,1girl,606,615,54576,2296.05832
koakuma,touhou,1girl,606,607,92535,2292.612347
akebono_(kancolle),kantai_collection,1girl,604,606,54576,2284.613465
usada_pekora,hololive,1girl,593,637,17510,2255.854683
houjuu_nue,touhou,1girl,594,595,92535,2242.063078
kasumi_(kancolle),kantai_collection,1girl,592,595,54576,2234.514044
ookami_mio,hololive,1girl,592,592,17510,2233.21445
agnes_tachyon_(umamusume),umamusume,1girl,587,589,13094,2213.057678
natori_sana,sana_channel,1girl,586,588,588,2208.855113
hatsune_miku,,1girl,413,18651,413,2176.799976
shiranui_(kancolle),kantai_collection,1girl,575,576,54576,2162.242928
abigail_williams_(fate),fate/grand_order,1girl,574,576,4875,2158.482505
abigail_williams_(fate),fate_(series),1girl,574,576,8588,2158.482505
akagi_(kancolle),kantai_collection,1girl,571,573,54576,2145.906289
princess_zelda,the_legend_of_zelda,1girl,568,577,927,2136.347862
hatoba_tsugu,tsugu_(vtuber),1girl,567,567,572,2128.281594
shiroko_(blue_archive),blue_archive,1girl,558,602,14955,2109.014842
arona_(blue_archive),blue_archive,1girl,537,802,14955,2096.541636
power_(chainsaw_man),chainsaw_man,1girl,559,559,3681,2094.803201
nanami_chiaki,galaga,1girl,527,854,528,2071.878298
nakiri_ayame,hololive,1girl,550,553,17510,2058.498822
hata_no_kokoro,touhou,1girl,545,546,92535,2036.76999
ui_(blue_archive),blue_archive,1girl,538,569,14955,2020.250399
artoria_pendragon_(fate),fate/grand_order,1girl,468,2035,4875,2016.408146
hoshino_(blue_archive),blue_archive,1girl,529,640,14955,2013.469206
hong_meiling,touhou,1girl,539,541,92535,2012.193326
la+_darknesss_(1st_costume),hololive,1girl,539,539,17510,2011.326344
shirasaka_koume,idolmaster,1girl,536,537,13720,1999.266217
miqo'te,final_fantasy,1girl,535,536,3040,1995.103162
miqo'te,final_fantasy_xiv,1girl,535,536,2075,1995.103162
shirasaka_koume,idolmaster_cinderella_girls,1girl,534,537,7464,1991.806269
yagokoro_eirin,touhou,1girl,534,537,92535,1991.806269
kasodani_kyouko,touhou,1girl,532,533,92535,1982.618875
silence_suzuka_(umamusume),umamusume,1girl,526,576,13094,1977.982226
rika_(pokemon),pokemon,1girl,530,530,8618,1973.866211
rika_(pokemon),pokemon_sv,1girl,530,530,1790,1973.866211
toyosatomimi_no_miko,touhou,1girl,529,529,92535,1969.708051
kayoko_(blue_archive),blue_archive,1girl,521,550,14955,1948.728961
misaka_mikoto,toaru_majutsu_no_index,1girl,523,524,1394,1945.210263
shanghai_doll,touhou,1girl,519,521,92535,1929.038778
ijichi_nijika,bocchi_the_rock!,1girl,515,542,3131,1923.009633
tokai_teio_(umamusume),umamusume,1girl,514,522,13094,1910.882639
ganyu_(genshin_impact),genshin_impact,1girl,504,571,10725,1893.344599
gumi,vocaloid,1girl,507,512,24189,1880.59987
uzuki_(kancolle),kantai_collection,1girl,502,503,54576,1858.187128
sendai_(kancolle),kantai_collection,1girl,500,501,54576,1849.918863
clownpiece,touhou,1girl,499,499,92535,1845.352172
kaf_(kamitsubaki_studio),kamitsubaki_studio,1girl,496,496,1565,1832.958912
uruha_rushia,hololive,1girl,493,505,17510,1825.722649
sekibanki,touhou,1girl,492,492,92535,1816.446831
ayanami_rei,neon_genesis_evangelion,1girl,487,509,1112,1805.17156
suzuya_(kancolle),kantai_collection,1girl,484,488,54576,1785.195194
verniy_(kancolle),kantai_collection,1girl,476,497,54576,1759.465641
yuuka_(blue_archive),blue_archive,1girl,474,492,14955,1749.991459
plana_(blue_archive),blue_archive,1girl,474,474,14955,1742.318934
yamakaze_(kancolle),kantai_collection,1girl,472,473,54576,1734.534458
kino_(kino_no_tabi),kino_no_tabi,1girl,471,472,471,1730.426681
minato_aqua,hololive,1girl,469,474,17510,1723.940042
misaka_mikoto,toaru_kagaku_no_railgun,1girl,463,524,915,1722.050386
daiyousei,touhou,1girl,467,469,92535,1714.437718
inugami_korone,hololive,1girl,466,467,17510,1709.901666
sakura_miku,vocaloid,1girl,465,469,24189,1707.095372
kamikaze_(kancolle),kantai_collection,1girl,464,464,54576,1701.264343
mizunashi_akari,aria_(manga),1girl,462,478,1032,1699.895688
kishin_sagume,touhou,1girl,462,462,92535,1693.064593
lily_white,touhou,1girl,459,460,92535,1681.205845
usami_renko,touhou,1girl,456,469,92535,1674.054816
tateyama_ayano,kagerou_project,1girl,457,460,983,1673.880329
hatsune_miku,o,1girl,317,18651,11299,1670.812573
shinku,rozen_maiden,1girl,454,457,1745,1661.601955
dodoco_(genshin_impact),genshin_impact,1girl,451,476,10725,1658.600736
hamakaze_(kancolle),kantai_collection,1girl,444,446,54576,1620.304677
oyama_mahiro,onii-chan_wa_oshimai!,1girl,443,443,722,1615.356851
ranni_the_witch,elden_ring,1girl,441,446,938,1609.356673
souryuu_asuka_langley,neon_genesis_evangelion,1girl,440,449,1112,1606.98839
sukuna_shinmyoumaru,touhou,1girl,440,440,92535,1603.119178
hieda_no_akyuu,touhou,1girl,439,440,92535,1599.475725
yamada_ryo,bocchi_the_rock!,1girl,434,434,3131,1578.670543
kizuna_akari,voiceroid,1girl,432,446,2056,1576.512659
higashiyama_kobeni,chainsaw_man,1girl,430,442,3681,1567.531576
hoshimiya_ichigo,aikatsu!_(series),1girl,429,430,2349,1558.757967
tsukino_usagi,bishoujo_senshi_sailor_moon,1girl,426,431,1053,1548.287317
higuchi_madoka,idolmaster,1girl,426,428,13720,1546.995046
higuchi_madoka,idolmaster_shiny_colors,1girl,424,428,3359,1539.732158
serval_(kemono_friends),kemono_friends,1girl,422,424,5004,1530.748391
nagae_iku,touhou,1girl,422,423,92535,1530.315635
hatsune_miku,project_sekai,1girl,287,18651,2129,1512.691509
hoshimiya_ichigo,aikatsu!,1girl,416,430,1805,1511.522878
illyasviel_von_einzbern,fate_(series),1girl,415,438,8588,1511.211756
yoru_(chainsaw_man),chainsaw_man,1girl,417,417,3681,1509.596735
oozora_subaru,hololive,1girl,414,414,17510,1497.438141
nice_nature_(umamusume),umamusume,1girl,413,415,13094,1494.253864
fubuki_kai_ni_(kancolle),kantai_collection,1girl,412,412,54576,1489.337653
nakano_azusa,k-on!,1girl,411,413,1690,1486.155471
kita_ikuyo,bocchi_the_rock!,1girl,410,410,3131,1481.241381
doremy_sweet,touhou,1girl,408,408,92535,1473.149347
hijiri_byakuren,touhou,1girl,407,408,92535,1469.538686
tohsaka_rin,fate_(series),1girl,404,407,8588,1458.276141
zuikaku_(kancolle),kantai_collection,1girl,404,405,54576,1457.411829
duel_monster,yu-gi-oh!,1girl,403,408,603,1455.096046
lappland_(arknights),arknights,1girl,401,417,14928,1451.674558
satsuki_(kancolle),kantai_collection,1girl,402,403,54576,1449.332629
frieren,sousou_no_frieren,1girl,402,402,472,1448.898873
junko_(touhou),touhou,1girl,402,402,92535,1448.898873
shikinami_(kancolle),kantai_collection,1girl,398,399,54576,1433.187212
kazusa_(blue_archive),blue_archive,1girl,397,397,14955,1428.719831
kasane_teto,utau,1girl,396,404,1548,1428.127021
tachibana_kanade,angel_beats!,1girl,396,396,537,1424.687294
hirasawa_yui,k-on!,1girl,395,398,1690,1421.953813
tohsaka_rin,fate/stay_night,1girl,388,407,2804,1400.522631
watson_amelia,hololive,1girl,390,390,17510,1400.515197
watson_amelia,hololive_english,1girl,389,390,5092,1396.924132
sylphiette_(mushoku_tensei),mushoku_tensei,1girl,389,389,609,1396.490395
nahida_(genshin_impact),,1girl,340,1274,340,1395.757606
gap_(touhou),touhou,1girl,388,394,92535,1395.052534
selen_tatsuki,nijisanji,1girl,384,386,7324,1377.249525
selen_tatsuki,nijisanji_en,1girl,384,386,2113,1377.249525
fukumaru_koito,idolmaster,1girl,384,385,13720,1376.81692
fukumaru_koito,idolmaster_shiny_colors,1girl,384,385,3359,1376.81692
asashio_kai_ni_(kancolle),kantai_collection,1girl,380,380,54576,1360.317767
nekomata_okayu,hololive,1girl,376,391,17510,1350.658461
niwatari_kutaka,touhou,1girl,377,377,92535,1348.280689
goldenglow_(arknights),arknights,1girl,372,383,14928,1332.949944
touhoku_kiritan,voiceroid,1girl,373,373,2056,1332.247394
takamachi_nanoha,lyrical_nanoha,1girl,372,374,894,1329.108236
lillie_(pokemon),pokemon,1girl,358,513,8618,1328.222017
kijin_seija,touhou,1girl,371,371,92535,1324.23772
princess_peach,mario_(series),1girl,370,376,938,1322.819503
tsukino_mito,nijisanji,1girl,370,374,7324,1321.962493
inui_toko,nijisanji,1girl,367,370,7324,1309.530033
ooyodo_(kancolle),kantai_collection,1girl,366,367,54576,1304.66778
lumine_(genshin_impact),,1girl,342,644,342,1302.638967
kiyoshimo_(kancolle),kantai_collection,1girl,365,369,54576,1301.964624
kitakami_(kancolle),kantai_collection,1girl,365,365,54576,1300.236896
hatsune_miku,piapro,1girl,246,18651,255,1296.592722
eternity_larva,touhou,1girl,362,362,92535,1288.252503
azusa_(blue_archive),blue_archive,1girl,359,385,14955,1287.180402
harusame_(kancolle),kantai_collection,1girl,361,361,54576,1284.2601
kasumi_kai_ni_(kancolle),kantai_collection,1girl,361,361,54576,1284.2601
harukawa_maki,danganronpa_(series),1girl,360,360,3266,1280.2689
harukawa_maki,danganronpa_v3:_killing_harmony,1girl,360,360,687,1280.2689
kirigiri_kyoko,danganronpa_(series),1girl,358,358,3266,1272.290124
wattson_(apex_legends),apex_legends,1girl,357,359,1170,1269.168718
suiseiseki,rozen_maiden,1girl,354,355,1745,1256.780837
lucina_(fire_emblem),fire_emblem,1girl,353,354,4052,1252.798151
nakano_yotsuba,go-toubun_no_hanayome,1girl,353,354,667,1252.798151
murasaki_shion,hololive,1girl,351,356,17510,1246.558949
lucina_(fire_emblem),fire_emblem_awakening,1girl,349,354,565,1238.602138
soga_no_tojiko,touhou,1girl,349,349,92535,1236.446074
miki_sayaka,mahou_shoujo_madoka_magica,1girl,348,352,4167,1234.196847
yasaka_kanako,touhou,1girl,345,346,92535,1220.981254
iwakura_lain,serial_experiments_lain,1girl,345,345,357,1220.547588
iz_(asteroid_ill),original,1girl,344,344,73512,1216.576104
todo_yurika,aikatsu!_(series),1girl,344,344,2349,1216.576104
koharu_(blue_archive),blue_archive,1girl,336,384,14955,1204.335291
todo_yurika,aikatsu!,1girl,339,344,1805,1198.893312
jervis_(kancolle),kantai_collection,1girl,339,339,54576,1196.737698
miyu_(blue_archive),blue_archive,1girl,332,372,14955,1185.420256
reze_(chainsaw_man),chainsaw_man,1girl,334,354,3681,1185.36709
kirima_syaro,gochuumon_wa_usagi_desu_ka?,1girl,335,335,1430,1180.89001
inoue_takina,lycoris_recoil,1girl,323,401,696,1163.815632
gotland_(kancolle),kantai_collection,1girl,330,330,54576,1161.1096
miyako_yoshika,touhou,1girl,330,330,92535,1161.1096
elaina_(majo_no_tabitabi),majo_no_tabitabi,1girl,319,423,352,1156.802577
morino_rinze,idolmaster,1girl,327,330,13720,1150.554058
morino_rinze,idolmaster_shiny_colors,1girl,327,330,3359,1150.554058
lumine_(genshin_impact),genshin_impact,1girl,302,644,10725,1150.283532
paimon_(genshin_impact),genshin_impact,1girl,320,375,10725,1143.690006
twilight,original,1girl,291,849,73512,1143.312138
miku_day,vocaloid,1girl,325,325,24189,1141.362092
maribel_hearn,touhou,1girl,323,335,92535,1138.589473
kirigiri_kyoko,danganronpa:_trigger_happy_havoc,1girl,320,358,980,1137.242569
tenkyuu_chimata,touhou,1girl,323,323,92535,1133.472415
takodachi_(ninomae_ina'nis),hololive,1girl,320,334,17510,1127.598869
kisaragi_(kancolle),kantai_collection,1girl,320,322,54576,1122.513879
hatsune_miku,project_diva_(series),1girl,212,18651,283,1117.38885
ushio_(kancolle),kantai_collection,1girl,318,322,54576,1115.498167
takodachi_(ninomae_ina'nis),hololive_english,1girl,316,334,5092,1113.503884
sangonomiya_kokomi,genshin_impact,1girl,309,384,10725,1107.558348
sazanami_(kancolle),kantai_collection,1girl,315,319,54576,1103.694065
kudamaki_tsukasa,touhou,1girl,315,315,92535,1101.967824
exusiai_(arknights),arknights,1girl,313,331,14928,1101.706162
kurodani_yamame,touhou,1girl,312,313,92535,1090.609833
northern_ocean_princess,kantai_collection,1girl,312,312,54576,1090.176233
hoshimachi_suisei_(1st_costume),hololive,1girl,311,311,17510,1086.248481
kamado_tanjirou,,1boy,307,312,307,1072.70546
celestia_ludenberg,danganronpa:_trigger_happy_havoc,1girl,306,315,980,1070.483029
celestia_ludenberg,danganronpa_(series),1girl,306,315,3266,1070.483029
