tag,reason,count
1girl,low_value,1692849
solo,low_value,1102777
breasts,adult,960885
nipples,adult,581600
hetero,low_value,552893
1boy,low_value,501004
large_breasts,adult,448659
penis,adult,421180
pussy,adult,415057
nude,adult,380243
solo_focus,low_value,377835
sex,adult,325707
simple_background,low_value,317667
cum,adult,273858
vaginal,adult,258431
white_background,low_value,255409
medium_breasts,adult,246172
ass,adult,228872
small_breasts,adult,200855
completely_nude,adult,168582
original,copyright,168415
mosaic_censoring,adult,159713
underwear,adult,154928
panties,adult,147078
cum_in_pussy,adult,145008
touhou,copyright,143541
anus,adult,134806
cleavage,adult,130108
pussy_juice,adult,115302
bad_pixiv_id,low_value,110912
saliva,low_value,106680
sex_from_behind,adult,99909
pubic_hair,adult,96341
kantai_collection,copyright,87701
uncensored,adult,85846
cum_on_body,adult,81937
erection,adult,77832
fellatio,adult,64127
huge_breasts,adult,58115
no_panties,adult,56387
breasts_out,adult,53721
male_pubic_hair,adult,52464
artist_name,low_value,51737
white_panties,adult,51635
clothed_sex,adult,51580
cum_on_breasts,adult,50998
female_pubic_hair,adult,48170
after_sex,adult,45235
cumdrip,adult,44708
signature,low_value,42440
group_sex,adult,40029
anal,adult,35974
idolmaster,copyright,35269
cum_in_mouth,adult,34925
spread_pussy,adult,34745
blue_archive,copyright,34429
hololive,copyright,34039
fate_(series),copyright,33013
covered_nipples,adult,32991
multiple_penises,adult,32709
sex_toy,adult,31500
black_panties,adult,31345
english_text,low_value,30609
vocaloid,copyright,30340
masturbation,adult,29795
genshin_impact,copyright,29782
breasts_apart,adult,29204
multiple_girls,low_value,28835
bad_twitter_id,low_value,28822
pokemon,copyright,28692
2boys,low_value,27737
after_vaginal,adult,27394
female_masturbation,adult,25486
grabbing_another's_breast,adult,25374
o,copyright,24234
fate/grand_order,copyright,24042
arknights,copyright,23529
breast_grab,adult,23361
cum_on_hair,adult,22818
panties_aside,adult,22508
standing_sex,adult,22338
character_name,low_value,22138
2girls,low_value,21106
groin,adult,19597
idolmaster_cinderella_girls,copyright,18938
watermark,low_value,18465
umamusume,copyright,18457
large_penis,adult,17969
bouncing_breasts,adult,17384
lingerie,adult,16938
breasts_squeezed_together,adult,16367
veiny_penis,adult,16349
areolae,adult,16349
azur_lane,copyright,16205
panties_around_one_leg,adult,15897
cum_overflow,adult,15797
puffy_nipples,adult,15784
breast_press,adult,15624
vibrator,adult,14626
hanging_breasts,adult,13993
orgasm,adult,13938
cum_in_ass,adult,13536
nijisanji,copyright,13526
dildo,adult,13329
happy_sex,adult,12960
banned_artist,low_value,12337
underwear_only,adult,12285
saliva_trail,low_value,12179
cum_on_clothes,adult,11931
fire_emblem,copyright,11585
tentacle_sex,adult,11335
licking_penis,adult,11126
bow_panties,adult,10797
mole_on_breast,adult,10546
nipple_tweak,adult,10424
between_breasts,adult,10372
internal_cumshot,adult,10354
areola_slip,adult,10177
pink_panties,adult,10065
panties_under_pantyhose,adult,9965
vaginal_object_insertion,adult,9776
cum_on_tongue,adult,9606
final_fantasy,copyright,9504
anal_object_insertion,adult,9381
cum_on_ass,adult,9244
naked_shirt,adult,9057
idolmaster_shiny_colors,copyright,8792
copyright_name,low_value,8716
large_areolae,adult,8713
pov_hands,low_value,8637
out_of_frame,low_value,8580
cleavage_cutout,adult,8566
hololive_english,copyright,8375
precum,adult,8347
breast_sucking,adult,8344
cum_string,adult,8219
female_orgasm,adult,8145
girls'_frontline,copyright,8125
nipple_piercing,adult,8009
pov_crotch,low_value,7908
precure,copyright,7713
;d,bad_pattern,7653
love_live!,bad_pattern,7631
pubic_tattoo,adult,7490
alternate_breast_size,adult,7462
grabbing_own_breast,adult,7415
kemono_friends,copyright,7306
granblue_fantasy,copyright,6856
princess_connect!,bad_pattern,6821
one_breast_out,adult,6748
inverted_nipples,adult,6499
huge_penis,adult,6466
mahou_shoujo_madoka_magica,copyright,6311
after_fellatio,adult,6258
disembodied_penis,adult,6219
honkai_(series),copyright,6035
after_anal,adult,5789
girls_und_panzer,copyright,5735
side-tie_panties,adult,5684
chainsaw_man,copyright,5505
indie_virtual_youtuber,copyright,5441
projectile_cum,adult,5350
penis_on_face,adult,5303
cum_pool,adult,5256
danganronpa_(series),copyright,5221
striped_panties,adult,5162
implied_sex,adult,5146
blue_panties,adult,5117
nipple_slip,adult,5047
fate/stay_night,copyright,4996
imminent_vaginal,adult,4895
looking_at_penis,adult,4732
anal_beads,adult,4625
cum_on_stomach,adult,4451
naked_apron,adult,4363
penis_awe,adult,4281
breast_hold,adult,4208
league_of_legends,copyright,4205
bocchi_the_rock!,bad_pattern,4137
final_fantasy_xiv,copyright,4103
